,result,kills,deaths,dragons,elders,heralds,barons,goldat15,golddiffat15
318,1,14,12,3.0,0.0,0.0,1.0,24192.0,-2179.0
319,0,12,14,4.0,0.0,2.0,1.0,26371.0,2179.0
320,1,14,5,1.0,0.0,2.0,1.0,26469.0,3537.0
321,0,5,14,3.0,0.0,0.0,0.0,22932.0,-3537.0
322,1,28,9,4.0,0.0,1.0,2.0,25193.0,-497.0
323,0,9,28,1.0,0.0,1.0,0.0,25690.0,497.0
324,1,13,4,3.0,0.0,2.0,1.0,26199.0,3284.0
325,0,4,13,1.0,0.0,0.0,0.0,22915.0,-3284.0
326,0,10,28,3.0,0.0,1.0,0.0,24631.0,-3016.0
327,1,28,10,3.0,0.0,1.0,1.0,27647.0,3016.0
328,1,20,9,4.0,0.0,1.0,1.0,23947.0,-262.0
329,0,9,20,2.0,0.0,1.0,0.0,24209.0,262.0
330,0,5,18,1.0,0.0,0.0,0.0,23377.0,-3279.0
331,1,18,6,3.0,0.0,2.0,1.0,26656.0,3279.0
332,1,23,13,4.0,0.0,2.0,2.0,27896.0,5725.0
333,0,12,23,1.0,0.0,0.0,0.0,22171.0,-5725.0
334,0,12,20,0.0,0.0,1.0,0.0,25902.0,-1374.0
335,1,20,13,4.0,0.0,1.0,1.0,27276.0,1374.0
336,1,22,9,3.0,0.0,2.0,1.0,25485.0,2120.0
337,0,9,22,2.0,0.0,0.0,0.0,23365.0,-2120.0
338,0,11,15,2.0,0.0,2.0,1.0,24162.0,-583.0
339,1,15,11,3.0,0.0,0.0,0.0,24745.0,583.0
340,1,20,9,1.0,1.0,2.0,1.0,25881.0,1957.0
341,0,9,20,4.0,0.0,0.0,1.0,23924.0,-1957.0
342,0,5,20,1.0,,,0.0,,
343,1,20,5,3.0,,,0.0,,
344,1,17,6,3.0,0.0,2.0,1.0,26581.0,2950.0
345,0,6,17,1.0,0.0,0.0,0.0,23631.0,-2950.0
346,1,25,13,0.0,0.0,2.0,1.0,27429.0,551.0
347,0,13,25,3.0,0.0,0.0,0.0,26878.0,-551.0
348,1,20,9,3.0,0.0,1.0,1.0,25770.0,530.0
349,0,9,20,2.0,0.0,1.0,0.0,25240.0,-530.0
350,1,13,1,4.0,0.0,1.0,1.0,25158.0,987.0
351,0,8,19,0.0,0.0,1.0,0.0,24290.0,-2475.0
352,1,15,2,3.0,,,1.0,,
353,1,19,5,3.0,0.0,1.0,2.0,24065.0,1263.0
354,0,5,19,2.0,0.0,1.0,0.0,22802.0,-1263.0
355,0,5,14,1.0,0.0,0.0,0.0,23604.0,-1224.0
356,1,14,5,3.0,0.0,1.0,2.0,24828.0,1224.0
357,0,12,21,0.0,0.0,0.0,0.0,24741.0,-3065.0
358,1,21,12,3.0,0.0,2.0,2.0,27806.0,3065.0
359,0,11,14,4.0,0.0,0.0,2.0,23382.0,-2494.0
360,1,14,11,3.0,0.0,1.0,1.0,25876.0,2494.0
361,1,16,11,2.0,,,1.0,,
362,0,11,16,1.0,,,0.0,,
363,1,23,8,4.0,0.0,0.0,1.0,27766.0,2839.0
364,0,8,23,1.0,0.0,2.0,0.0,24927.0,-2839.0
365,0,2,12,1.0,0.0,0.0,0.0,21713.0,-4325.0
366,1,12,2,4.0,0.0,2.0,1.0,26038.0,4325.0
367,0,20,33,1.0,,,0.0,,
368,1,33,20,3.0,,,1.0,,
369,1,15,2,4.0,0.0,2.0,1.0,23556.0,-543.0
370,0,2,15,0.0,0.0,0.0,0.0,24099.0,543.0
371,0,9,23,0.0,0.0,2.0,0.0,25710.0,2045.0
372,1,23,9,5.0,1.0,0.0,2.0,23665.0,-2045.0
373,1,16,7,3.0,0.0,1.0,0.0,25118.0,1092.0
374,0,7,16,1.0,0.0,1.0,1.0,24026.0,-1092.0
375,0,8,12,2.0,1.0,1.0,0.0,23916.0,-1935.0
376,1,23,20,4.0,0.0,0.0,1.0,25370.0,-238.0
377,0,20,23,3.0,0.0,1.0,2.0,25608.0,238.0
378,0,5,13,1.0,0.0,1.0,0.0,24564.0,-1595.0
379,0,4,15,2.0,0.0,0.0,0.0,24214.0,-2530.0
380,1,15,4,2.0,0.0,1.0,1.0,26744.0,2530.0
381,0,13,19,0.0,0.0,1.0,0.0,23549.0,-3917.0
382,1,19,13,5.0,1.0,0.0,1.0,27466.0,3917.0
383,0,4,23,1.0,,,0.0,,
384,1,23,4,2.0,,,1.0,,
385,0,12,12,4.0,0.0,1.0,0.0,22918.0,-1245.0
386,1,12,12,2.0,0.0,1.0,0.0,24163.0,1245.0
387,1,17,17,5.0,1.0,2.0,1.0,25597.0,834.0
388,0,17,17,2.0,0.0,0.0,1.0,24763.0,-834.0
389,0,9,16,1.0,0.0,1.0,0.0,24147.0,531.0
390,1,16,9,3.0,0.0,1.0,1.0,23616.0,-531.0
391,1,8,12,2.0,0.0,1.0,2.0,24906.0,275.0
392,0,12,8,3.0,0.0,1.0,0.0,24631.0,-275.0
393,1,18,6,3.0,0.0,1.0,1.0,27018.0,2621.0
394,0,6,18,0.0,0.0,0.0,0.0,24397.0,-2621.0
395,0,5,15,2.0,0.0,1.0,0.0,23853.0,190.0
396,1,15,5,2.0,0.0,1.0,2.0,23663.0,-190.0
397,0,10,25,2.0,0.0,1.0,0.0,25218.0,-2396.0
398,1,25,10,2.0,0.0,1.0,2.0,27614.0,2396.0
399,1,17,8,3.0,,,2.0,,
400,0,8,17,2.0,,,0.0,,
401,0,4,12,1.0,0.0,0.0,0.0,22501.0,-3851.0
402,1,12,4,2.0,0.0,2.0,1.0,26352.0,3851.0
403,1,17,8,2.0,0.0,2.0,2.0,25166.0,1304.0
404,0,8,17,3.0,0.0,0.0,0.0,23862.0,-1304.0
405,1,30,17,5.0,1.0,1.0,0.0,25662.0,2128.0
406,0,17,30,0.0,0.0,1.0,1.0,23534.0,-2128.0
407,1,12,9,3.0,0.0,1.0,1.0,25185.0,1820.0
408,0,9,12,2.0,0.0,1.0,0.0,23365.0,-1820.0
409,1,24,8,4.0,0.0,1.0,2.0,27146.0,4718.0
410,0,8,24,1.0,0.0,0.0,0.0,22428.0,-4718.0
411,1,15,3,3.0,0.0,2.0,1.0,25603.0,1037.0
412,0,3,15,1.0,0.0,0.0,0.0,24566.0,-1037.0
